Combined_Key,Cases_per_Cap,Deaths_per_Cap,Unemployment_Rate_Jan2020,Unemployment_Rate_Oct2020,9-Month Difference
"Jackson, Minnesota, US",0.070790169,0.000304692,4,4.3,0.3
"Marion, Kentucky, US",0.070772583,0.000726405,3.9,6.2,2.3
"Lee, Illinois, US",0.070741436,0.001730408,4.1,3.8,-0.3
"Jeff Davis, Georgia, US",0.070724446,0.002249421,4.7,3.7,-1
"Gordon, Georgia, US",0.070717527,0.001035143,3.6,3.2,-0.4
"Johnson, Illinois, US",0.070709511,0.000966417,5.8,4.8,-1
"North Slope, Alaska, US",0.070687551,0.000203417,5.9,5.5,-0.4
"Karnes, Texas, US",0.070636498,0.001217871,2.5,6.5,4
"Holt, Missouri, US",0.070633659,0.001589825,3.7,1.9,-1.8
"Chase, Kansas, US",0.070619335,0.001132931,2.9,4.9,2
"Walker, Texas, US",0.07060339,0.00104151,4,6.8,2.8
"Winston, Alabama, US",0.070548902,0.001058022,3.8,4,0.2
"Dewey, Oklahoma, US",0.070537722,0.000408914,2.2,5.2,3
"Walker, Alabama, US",0.070512114,0.001826168,3.9,5.2,1.3
"Kane, Illinois, US",0.070499227,0.001019904,4.7,5.4,0.7
"Rock Island, Illinois, US",0.070447353,0.001430797,5,5.3,0.3
"Richland, Montana, US",0.070443395,0.000833102,3.2,5.6,2.4
"Custer, South Dakota, US",0.070441373,0.000891663,5.5,4.1,-1.4
"Richland, Illinois, US",0.070392574,0.001418165,3.9,4,0.1
"Hardee, Florida, US",0.07031221,0.000742473,4.4,5.3,0.9
"Wayne, Illinois, US",0.070243602,0.002343509,4.4,4,-0.4
"Taylor, Texas, US",0.070236319,0.00105771,3,4.8,1.8
"Franklin, Illinois, US",0.070212379,0.001039798,5.2,5.3,0.1
"Hudspeth, Texas, US",0.070200573,0.001023332,4.4,8.1,3.7
"Ogle, Illinois, US",0.070138025,0.001086034,6,4.4,-1.6
"Iron, Michigan, US",0.070124706,0.003343575,6.9,3.8,-3.1
"Calhoun, Alabama, US",0.070120153,0.001144316,3.8,6.6,2.8
"Yalobusha, Mississippi, US",0.07011893,0.002477701,5.3,6.9,1.6
"Franklin, Florida, US",0.070103093,0.000329897,3.1,4.5,1.4
"Rutherford, Tennessee, US",0.070036264,0.000595874,2.7,5.8,3.1
"Blue Earth, Minnesota, US",0.069945161,0.000325189,2.9,3,0.1
"Knox, Illinois, US",0.069941045,0.002012113,4.8,5.6,0.8
"Dickson, Tennessee, US",0.069937718,0.000889746,3.2,5.6,2.4
"Door, Wisconsin, US",0.069936389,0.000469857,6,4.5,-1.5
"Clarke, Georgia, US",0.069920752,0.000459749,3.5,4.4,0.9
"Copiah, Mississippi, US",0.069909139,0.001496526,6.4,7.6,1.2
"Knox, Indiana, US",0.069874843,0.000901787,3.4,3.8,0.4
"Gosper, Nebraska, US",0.069849246,0.000502513,2.1,1.7,-0.4
"Noble, Oklahoma, US",0.069805049,0.000449196,2.6,3.7,1.1
"Coffee, Tennessee, US",0.069798301,0.000920028,3.9,6.6,2.7
"Douglas, Wisconsin, US",0.069779838,0.000602549,5.8,5.8,0
"Tunica, Mississippi, US",0.069767442,0.001972591,6.6,13.2,6.6
"Jones, South Dakota, US",0.069767442,0,3.8,3.1,
"Darke, Ohio, US",0.069727858,0.001428208,4.9,3.6,-1.3
"Evangeline, Louisiana, US",0.069711035,0.001557119,7,8.7,1.7
"Clearwater, Minnesota, US",0.069630302,0.001134044,13.6,4.1,-9.5
"Greeley, Nebraska, US",0.069609508,0,3.1,2.1,-1
"Cullman, Alabama, US",0.06960892,0.000728202,2.8,3.2,0.4
"Emporia, Virginia, US",0.069584736,0.005424617,5,10.6,5.6
"Gonzales, Texas, US",0.069539761,0.001151797,3.1,5.3,2.2
"Miller, Missouri, US",0.069518717,0.001288106,5.9,3.1,-2.8
"Cook, Illinois, US",0.069514137,0.00144809,3.6,8.6,5
"Pueblo, Colorado, US",0.069497221,0.001407163,4.2,7.8,3.6
"Ottawa, Oklahoma, US",0.069425258,0.000803161,3.1,4.9,1.8
"LaSalle,Illinois,US",0.069403418,0.001674811,5.9,5.1,-0.8
"Benton, Mississippi, US",0.069378859,0.002300521,6.1,7.3,1.2
"Owyhee, Idaho, US",0.069356339,0.001522456,4.7,5.4,0.7
"Anderson, Texas, US",0.069334026,0.000935308,3.1,5.5,2.4
"Jasper, Iowa, US",0.069329031,0.001290843,3.9,3,-0.9
"Goshen, Wyoming, US",0.069260465,0.000908334,3.7,3.6,-0.1
"Pope, Arkansas, US",0.069203396,0.000780372,4.9,4.9,0
"Covington, Alabama, US",0.069178655,0.001025669,3.6,3.9,0.3
"DeSoto,Florida,US",0.069156075,0.001210494,3.5,4,0.5
"Price, Wisconsin, US",0.069133398,0.000299603,5.7,4.4,-1.3
"Mineral, West Virginia, US",0.069115677,0.001935388,5.8,4.9,-0.9
"Gila, Arizona, US",0.069106594,0.002110408,5.8,7.7,1.9
"Toombs, Georgia, US",0.069101752,0.00260902,4.9,4.4,-0.5
"Claiborne, Mississippi, US",0.069092123,0.001780151,10.4,13.7,3.3
"Madison, Illinois, US",0.069073568,0.001281534,3.6,4.6,1
"Adams, Colorado, US",0.069044357,0.000836843,3.1,7,3.9
"Gogebic, Michigan, US",0.068980322,0.002003578,6.5,4.5,-2
"Harmon, Oklahoma, US",0.068978515,0,2.7,3.7,1
"Tishomingo, Mississippi, US",0.06897797,0.002424805,5.6,5,-0.6
"Sullivan, Indiana, US",0.068943829,0.001064396,4.8,4.5,-0.3
"Hooker, Nebraska, US",0.068914956,0.001466276,4.2,1.9,-2.3
"Sevier, Tennessee, US",0.068905852,0.000549618,6.3,5.6,-0.7
"Warrick, Indiana, US",0.068795835,0.001285755,3.2,3.3,0.1
"Howard, Iowa, US",0.068792313,0.001637912,4.2,2.4,-1.8
"Runnels, Texas, US",0.0687841,0.001363991,3.1,4.4,1.3
"Johnson, Iowa, US",0.068750827,0.000284504,2.4,2.8,0.4
"Pierce, Nebraska, US",0.068690543,0.002518187,2.7,3.1,0.4
"Scott, Minnesota, US",0.068671861,0.000476468,2.9,3.8,0.9
"Hamilton, Nebraska, US",0.068640069,0.001394251,4,2.3,-1.7
"Wilson, Tennessee, US",0.068638227,0.000712029,2.9,5.7,2.8
"Graham, Arizona, US",0.06862013,0.001055694,5,6.3,1.3
"Linn, Iowa, US",0.068542518,0.000974831,3.7,3.9,0.2
"Allen, Ohio, US",0.068528886,0.001006341,5.3,5.4,0.1
"McPherson, South Dakota, US",0.068516183,0.000420345,5.3,4.7,-0.6
"Lafayette, Mississippi, US",0.068494419,0.001240304,4.2,4.8,0.6
"Butler, Alabama, US",0.068490333,0.002262443,4.2,8.2,4
"Young, Texas, US",0.068406441,0.001388118,3.2,4.8,1.6
"Pine, Minnesota, US",0.068393117,0.000338078,8.3,4.2,-4.1
"Donley, Texas, US",0.06833435,0.00152532,3.8,4,0.2
"Pierce, Georgia, US",0.068327768,0.001592602,3.3,3.1,-0.2
"Grant, Oklahoma, US",0.068312947,0.001153935,2.4,3.5,1.1
"McPherson, Kansas, US",0.068285334,0.000490505,2.4,3.2,0.8
"Scott, Indiana, US",0.068277971,0.001298538,3.6,5.1,1.5
"Adair, Oklahoma, US",0.068261692,0.000585744,4.3,5.5,1.2
"Holmes, Florida, US",0.068257124,0.000968548,3.8,4.3,0.5
"Bryan, Oklahoma, US",0.068236275,0.000541723,3,5.1,2.1
"Concho, Texas, US",0.068231842,0.001100514,2.9,3.9,1
"Nuckolls, Nebraska, US",0.068225651,0.00024108,3.5,1.7,-1.8
"Hendry, Florida, US",0.06820237,0.001094665,5.1,6.7,1.6
"Auglaize, Ohio, US",0.068161906,0.001029438,3.7,3.7,0
"Hamilton, Kansas, US",0.068137062,0,1.9,2,0.1
"Desha, Arkansas, US",0.068127806,0.000880204,5.3,6.8,1.5
"Marshall, Minnesota, US",0.068123393,0.001178235,10,2.6,-7.4
"Avery, North Carolina, US",0.068120977,0.000740445,4.3,4.6,0.3
"Randolph, Arkansas, US",0.068103352,0.002060363,4.8,5.3,0.5
"Red Lake, Minnesota, US",0.068064118,0.000739827,8.7,3,-5.7
"Greene, Alabama, US",0.068055727,0.002465787,5.9,10.3,4.4
"Decatur, Indiana, US",0.067961896,0.001957905,3.3,3.7,0.4
"Henry, Illinois, US",0.067957394,0.00077689,5.1,4.1,-1
"Martinsville, Virginia, US",0.067946471,0.002150709,4.9,9.5,4.6
"Emanuel, Georgia, US",0.067914864,0.002252053,5.1,6,0.9
"Cross, Arkansas, US",0.06790913,0.001888057,4.9,5.7,0.8
"Nez Perce, Idaho, US",0.067882598,0.001014651,3.6,4.6,1
"Will, Illinois, US",0.067867499,0.000991686,4,6.6,2.6
"Grundy, Illinois, US",0.067830141,0.000646374,5.1,5.4,0.3
"Madison, Tennessee, US",0.067806989,0.001326747,3.8,7.8,4
"Cedar, Iowa, US",0.067804799,0.000858968,3.7,2.3,-1.4
"Wayne, Indiana, US",0.067770627,0.001851739,3.8,5,1.2
"Jay, Indiana, US",0.067723625,0.000978665,3.5,3.5,0
"Buckingham, Virginia, US",0.067704689,0.000583158,5.1,5.8,0.7
"Washington, Kansas, US",0.067702553,0.001479837,2.7,2.2,-0.5
"Harper, Kansas, US",0.067696836,0.002759382,2.7,4.6,1.9
"Labette, Kansas, US",0.067692935,0.000356815,4.1,4.6,0.5
"Kingman, Kansas, US",0.067673378,0.000699105,3.5,4.4,0.9
"Dallas, Alabama, US",0.067668567,0.000914077,5.5,10.4,4.9
"Clarke, Mississippi, US",0.067627566,0.003539026,6.5,7.5,1
"Monroe, Wisconsin, US",0.067606426,0.000432404,4.1,4.3,0.2
"Chisago, Minnesota, US",0.067604588,0.000424186,5.2,3.9,-1.3
"Sumner, Tennessee, US",0.06757004,0.000862596,2.9,5.9,3
"Coal, Oklahoma, US",0.067515924,0.000545951,4.2,7,2.8
"Perkins, Nebraska, US",0.067450709,0.003804912,2.1,1.3,-0.8
"Box Butte, Nebraska, US",0.06742094,0.000741909,3.3,3.8,0.5
"Jackson, Kansas, US",0.067420849,0.000759244,3.7,3.7,0
"Decatur, Georgia, US",0.067338282,0.001817906,3.8,3.8,0
"Williamson, Illinois, US",0.067315345,0.001501569,4.2,4.5,0.3
"Allegany, Maryland, US",0.067271643,0.001732561,5.6,7.2,1.6
"Randolph, Indiana, US",0.067220758,0.001135212,4.5,4.1,-0.4
"Greene, Iowa, US",0.067169217,0.000675068,2.5,2.3,-0.2
"Mahaska, Iowa, US",0.067164517,0.001448291,3.3,2.6,-0.7
"Bibb, Alabama, US",0.067160847,0.001741538,3.3,5.8,2.5
"Vilas, Wisconsin, US",0.067132237,0.000946159,6.1,5.1,-1
"Edgar, Illinois, US",0.067128955,0.001515063,4.1,3.4,-0.7
"Garvin, Oklahoma, US",0.06712136,0.000649562,3.7,6.8,3.1
"Blount, Alabama, US",0.067115139,0.00084737,3,3.3,0.3
"Adams, Nebraska, US",0.067085419,0.000829002,3.6,2.4,-1.2
"Nolan, Texas, US",0.067078972,0.00081555,3.1,5.2,2.1
"Charlton, Georgia, US",0.066980287,0.001418757,3.8,2.6,-1.2
"Monroe, Iowa, US",0.066952121,0.001946283,4.2,2.9,-1.3
"Merrick, Nebraska, US",0.066924565,0.001031593,4.2,2.5,-1.7
"Sampson, North Carolina, US",0.066912216,0.000834238,4.1,4.8,0.7
"Clay, Kansas, US",0.066858285,0.0019995,3.4,4.1,0.7
"Uinta, Wyoming, US",0.066844655,0.000346089,4.7,5.5,0.8
"Vermilion, Illinois, US",0.066831226,0.000989994,4.9,5.6,0.7
"Ada, Idaho, US",0.066829046,0.000612558,2.8,5.2,2.4
"Power, Idaho, US",0.066788179,0.000520766,4.7,3.2,-1.5
"McDonald, Missouri, US",0.066733809,0.000788195,3.9,3.4,-0.5
"Pratt, Kansas, US",0.066673942,0.001745962,2.9,3.4,0.5
"Caribou, Idaho, US",0.066666667,0.001537386,3.7,3.5,-0.2
"Fayette, Tennessee, US",0.066613182,0.001021078,3.9,7.4,3.5
"Lawrence, Mississippi, US",0.066581916,0.0011918,6.7,8.1,1.4
"Otter Tail, Minnesota, US",0.066557723,0.00062983,6,2.8,-3.2
"Franklin, Tennessee, US",0.066551365,0.00097138,4,6.1,2.1
"Wichita, Texas, US",0.066512894,0.001323452,3.3,6.2,2.9
"Baraga, Michigan, US",0.066512364,0.00341089,7.3,5.7,-1.6
"Menominee, Michigan, US",0.066505707,0.000965759,4.6,3.8,-0.8
"Polk, Georgia, US",0.066505526,0.000938681,3.8,3.8,0
"DeWitt, Texas, US",0.066468254,0.002281746,2.7,5.8,3.1
"Collingsworth, Texas, US",0.066438356,0.001027397,3.8,4.2,0.4
"Carlton, Minnesota, US",0.066432494,0.000808453,5.7,4.1,-1.6
"Blackford, Indiana, US",0.066422861,0.00170097,4.6,4.7,0.1
"Menard, Texas, US",0.066417212,0.001403181,3.4,4.7,1.3
"Bradley, Tennessee, US",0.066395338,0.000462492,3.7,6.7,3
"Turner, Georgia, US",0.066374452,0.00313087,4.7,5.9,1.2
"Sheridan, Nebraska, US",0.066336256,0.001715593,2.7,2,-0.7
"Rock, Nebraska, US",0.066322771,0.001473839,2.6,1.4,-1.2
"Tazewell, Illinois, US",0.066318673,0.001107714,4.8,4.7,-0.1
"Floyd, Georgia, US",0.066316067,0.001076164,3.9,3.7,-0.2
"McMinn, Tennessee, US",0.06630851,0.001115366,4.2,6.9,2.7
"Giles, Tennessee, US",0.066284279,0.001832745,5.2,7.1,1.9
"Harding, South Dakota, US",0.066255778,0,2.8,3.1,
"Cochran, Texas, US",0.066246057,0.001752541,3.9,7.1,3.2
"Jasper, Mississippi, US",0.066227187,0.001464933,8.3,8.6,0.3
"Morgan, Colorado, US",0.066189624,0.002201734,2.6,4.8,2.2
"Rice, Kansas, US",0.066163364,0.000104855,2.8,3.8,1
"Atchison, Kansas, US",0.066135756,0.000559945,5.3,5.5,0.2
"Andrews, Texas, US",0.06613205,0.001015771,2.5,7.7,5.2
"Zavala, Texas, US",0.066131757,0.002027027,9.2,14.2,5
"DeSoto, Mississippi, US",0.066057477,0.000621806,4.2,5.1,0.9
"Iowa, Wisconsin, US",0.066010643,0.0002534,4.3,4,-0.3
"Winona, Minnesota, US",0.065961493,0.000772522,3.1,2.8,-0.3
"Thayer, Nebraska, US",0.065960424,0.00039976,2.4,1.7,-0.7
"Unicoi, Tennessee, US",0.065928535,0.001901247,6.7,9,2.3
"Washington, Florida, US",0.06587367,0.00113846,3.6,4.7,1.1
"Iowa, Iowa, US",0.065867523,0.001173999,3.4,2.2,-1.2
"Sterling, Texas, US",0.065840434,0.000774593,3.7,6,2.3
"Boone, Missouri, US",0.065825128,0.000199487,3.2,2.6,-0.6
"Crow Wing, Minnesota, US",0.065821228,0.000737837,6.2,3.7,-2.5
"Scott, Mississippi, US",0.065815673,0.001173375,4.5,5.5,1
"Howard, Indiana, US",0.065807327,0.001078213,4.2,5.5,1.3
"Washoe, Nevada, US",0.065789502,0.00078894,3.4,6.3,2.9
"Warren, Kentucky, US",0.065765712,0.000624549,4.3,6.9,2.6
"Terrell, Texas, US",0.065721649,0.00128866,3.6,4.1,0.5
"Burnett, Wisconsin, US",0.065719476,0.000973141,7.6,6.2,-1.4
"Washington, Missouri, US",0.065709664,0.001293975,6.1,4.4,-1.7
"Duval, Texas, US",0.065698665,0.002420005,5.4,12.2,6.8
"White, Illinois, US",0.065671862,0.001034203,3.6,3.6,0
"Coconino, Arizona, US",0.06564164,0.001324263,6.3,9.7,3.4
"Stoddard, Missouri, US",0.065633075,0.000930233,5.9,3.4,-2.5
"Roosevelt, New Mexico, US",0.065621622,0.001027027,4.5,6.1,1.6
"Elko, Nevada, US",0.065614461,0.000587366,3.3,4.3,1
"Bradley, Arkansas, US",0.065595094,0.000743287,4.6,5.1,0.5
"Miami, Indiana, US",0.065576078,0.000619439,4.3,5.2,0.9
"Hancock, Georgia, US",0.065507863,0.005557526,5.8,7.1,1.3
"Mahnomen, Minnesota, US",0.065496653,0.00108558,7.5,6.2,-1.3
"Clark, Illinois, US",0.065475034,0.001424778,4.6,3.8,-0.8
"Dallam, Texas, US",0.065459037,0.00205846,2.3,2.6,0.3
"San Juan, New Mexico, US",0.065457655,0.002137821,6.2,9.3,3.1
"Ector, Texas, US",0.065454239,0.001046787,3.4,11.4,8
"Laramie, Wyoming, US",0.065427136,0.000432161,4,4.5,0.5
"Somervell, Texas, US",0.065403155,0.000657318,4,5.4,1.4
"Sauk, Wisconsin, US",0.065376618,0.000387946,4.1,5.1,1
"Greene, Mississippi, US",0.065361401,0.00184013,9.4,8.4,-1
"Sawyer, Wisconsin, US",0.065346056,0.00048315,6.5,5.8,-0.7
"Stephenson, Illinois, US",0.065328779,0.0010787,4.9,4.5,-0.4
"Marshall, Tennessee, US",0.065192727,0.000727273,4,6.7,2.7
"Cameron, Texas, US",0.065187646,0.002717629,6.3,9.5,3.2
"Ringgold, Iowa, US",0.065181855,0.001225991,3.1,2.1,-1
"Butler, Kansas, US",0.065161184,0.000254069,3.6,5.3,1.7
"Mason, Illinois, US",0.065124635,0.002395389,5.8,4.4,-1.4
"Washington, Minnesota, US",0.065119646,0.000571559,2.9,3.5,0.6
"Carroll, Missouri, US",0.065099666,0.000921765,3.9,8.1,4.2
"McKenzie, North Dakota, US",0.065095847,0.000665602,2,8.5,6.5
"Lincoln, Mississippi, US",0.06508945,0.00213744,5.8,6.4,0.6
"Sedgwick, Kansas, US",0.065021839,0.000426322,3.8,7.2,3.4
"Pickens, South Carolina, US",0.065020018,0.000874815,2.8,3.2,0.4
"Adams, Wisconsin, US",0.064985163,0.000593472,7.3,7.3,0
"Conecuh, Alabama, US",0.064970581,0.00124306,4.3,7.1,2.8
"Hancock, Illinois, US",0.064942399,0.001129433,4.8,3.4,-1.4
"Fayette, Kentucky, US",0.064916819,0.000399193,3.5,6.3,2.8
"Natchitoches, Louisiana, US",0.064914304,0.001415169,7,7.5,0.5
"Blaine, Idaho, US",0.064897268,0.000434386,3,6.3,3.3
"Tippecanoe, Indiana, US",0.064889747,0.00026056,3.1,4.4,1.3
"Newton, Arkansas, US",0.064878112,0.003095576,4.8,3.9,-0.9
"Jones, Mississippi, US",0.064862404,0.001336309,5.4,6.9,1.5
"Scotland, North Carolina, US",0.064813485,0.001407116,7.2,10.5,3.3
"Upson, Georgia, US",0.064779635,0.003039514,3.7,4.5,0.8
"Marlboro, South Carolina, US",0.064744621,0.000842331,4.4,6.8,2.4
"Simpson, Mississippi, US",0.064633506,0.002025658,5.3,6.3,1
"Bannock, Idaho, US",0.064629647,0.000535259,3.4,5,1.6
"Robeson, North Carolina, US",0.064604785,0.000872727,5.6,8.3,2.7
"Adams, Indiana, US",0.064510719,0.000782626,3,3.1,0.1
"Lamar, Texas, US",0.064501895,0.001564412,3.5,5.7,2.2
"Carter, Tennessee, US",0.064496108,0.001329999,4.5,7.3,2.8
"Drew, Arkansas, US",0.064493112,0.000439102,6.1,6.2,0.1
"Caldwell, Kentucky, US",0.064485761,0.001019848,5.5,6.7,1.2
"Morrow, Oregon, US",0.064466086,0.000603292,4.8,4.2,-0.6
"Jefferson, Illinois, US",0.064457064,0.001751406,4.2,5,0.8
"Warren, Iowa, US",0.064450317,0.000485758,3.5,2.5,-1
"Greene, North Carolina, US",0.064407423,0.001281504,3.8,5.2,1.4
"Allen, Indiana, US",0.064384562,0.001057213,3.4,4.9,1.5
"Dakota, Minnesota, US",0.064367479,0.000552421,2.9,4,1.1
"Eddy, New Mexico, US",0.064334588,0.000992131,3,7.3,4.3
"Davis, Iowa, US",0.064333333,0.001333333,3.5,2.7,-0.8
"St. Clair, Illinois, US",0.064331539,0.001201451,4,5.7,1.7
"Harrison, Missouri, US",0.064295977,0.000838123,4.9,2.6,-2.3
"Howard, Nebraska, US",0.064235842,0.001241272,5.6,2.7,-2.9
"Duplin, North Carolina, US",0.064231116,0.001072505,4.3,4.8,0.5
"Steele, Minnesota, US",0.064203662,0.000245573,3.6,3.3,-0.3
"Roger Mills, Oklahoma, US",0.064192018,0.001674574,3.3,4.9,1.6
"Dunklin, Missouri, US",0.064158457,0.000480588,6.6,4.6,-2
"Sebastian, Arkansas, US",0.064157025,0.001048292,3.9,5.5,1.6
"Calhoun, Mississippi, US",0.064132024,0.001044496,5.9,6.5,0.6
"Washington, Tennessee, US",0.064115942,0.001035749,3.9,6.4,2.5
"Jefferson Davis, Louisiana, US",0.064109921,0.001817138,5.8,8.4,2.6
"Habersham, Georgia, US",0.064088422,0.001853159,4,3.4,-0.6
"Pontotoc, Oklahoma, US",0.064047644,0.000417929,2.9,5,2.1
"McLennan, Texas, US",0.064027776,0.000868979,3.4,5.4,2
"Peoria, Illinois, US",0.063991874,0.000932029,5.4,6.7,1.3
"Brown, Nebraska, US",0.063959391,0.000338409,2.9,2.2,-0.7
"Caddo, Louisiana, US",0.063941483,0.001977486,6.2,10.4,4.2
"Branch, Michigan, US",0.063929039,0.001080038,4,4.1,0.1
"Clark, Nevada, US",0.06389599,0.000898657,3.9,13.8,9.9
"Porter, Indiana, US",0.06389497,0.000686664,4.3,4.9,0.6
"Buchanan, Missouri, US",0.063893595,0.000904263,3.9,3.3,-0.6
"Newberry, South Carolina, US",0.063891779,0.001795005,2.8,3.3,0.5
"Jackson, Texas, US",0.063888889,0.001219512,3.4,5.4,2
"Dearborn, Indiana, US",0.063872377,0.000768329,4,4.2,0.2
"Baldwin, Georgia, US",0.063867231,0.001648474,4.6,5,0.4
"Concordia, Louisiana, US",0.063866244,0.001713485,7.8,8.2,0.4
"Hall, Texas, US",0.063765182,0.001012146,4.4,6.1,1.7
"Stevens, Minnesota, US",0.063742988,0.000509944,3.5,2,-1.5
"Polk, Nebraska, US",0.063686937,0.001726453,3,1.8,-1.2
"Benton, Tennessee, US",0.063675743,0.00154703,5.5,8.2,2.7
"Montgomery, Iowa, US",0.063628113,0.00131088,3.3,3,-0.3
"Arkansas, Arkansas, US",0.063593732,0.001486904,3.6,4,0.4
"Webster, Mississippi, US",0.063577253,0.001651357,5.9,6.6,0.7
"Newton, Mississippi, US",0.063564564,0.001522505,5.6,6.3,0.7
"Washington, Alabama, US",0.063518314,0.001408796,5,6.8,1.8
"Harvey, Kansas, US",0.063492986,0.000638996,3.2,4.4,1.2
"Monroe, Tennessee, US",0.063486948,0.00103126,4.3,6.8,2.5
"McNairy, Tennessee, US",0.063477855,0.001362186,6.1,9.4,3.3
"Umatilla, Oregon, US",0.06345093,0.000679923,5.5,5.3,-0.2
"Fremont, Idaho, US",0.063439957,0.0009161,3.7,2.8,-0.9
"Lincoln, Louisiana, US",0.063433315,0.001347824,6.2,6.7,0.5
"Hennepin, Minnesota, US",0.063425717,0.000989064,2.5,4.5,2
"Clay, Kentucky, US",0.063413899,0.00040199,7.6,10.5,2.9
"Shelby, Indiana, US",0.063381699,0.001520266,3.2,3.9,0.7
"Sibley, Minnesota, US",0.063370333,0.000269088,5.1,3.1,-2
"Plaquemines, Louisiana, US",0.063370263,0.00086218,5.1,7,1.9
"Jefferson, Alabama, US",0.063346053,0.000857916,3,6.3,3.3
"Morgan, Missouri, US",0.063315072,0.000727202,6.4,3.6,-2.8
"Yakima, Washington, US",0.063294974,0.00117988,8.4,5.8,-2.6
"Manassas,Virginia,US",0.063283437,0.000705854,2.8,5.3,2.5
"Nevada, Arkansas, US",0.063257392,0.002302472,4.1,5.2,1.1
"Macoupin, Illinois, US",0.063215065,0.001068424,4.2,3.7,-0.5
"Carroll, Arkansas, US",0.063178295,0.000845666,4.5,4.9,0.4
"Buena Vista, Virginia, US",0.063136771,0.000308737,2.8,3.5,0.7
"Wheeler, Texas, US",0.063093354,0.001384494,3.4,6.9,3.5
"Boone, Iowa, US",0.063086072,0.000533659,3.2,2.2,-1
"Jefferson, Idaho, US",0.063071206,0.000435205,3,3.3,0.3
"Tillman, Oklahoma, US",0.063034483,0.001103448,3.4,4,0.6
"Lamar, Alabama, US",0.063020645,0.000651938,3.3,3.7,0.4
"Navarro, Texas, US",0.06297767,0.000858061,3.9,5.1,1.2
"Perry, Mississippi, US",0.062975027,0.002338595,7.2,7.3,0.1
"Buchanan, Iowa, US",0.062951594,0.000708383,4.1,2.7,-1.4
"Weston, Wyoming, US",0.062942111,0.000288725,3.1,3.3,0.2
"St. Croix, Wisconsin, US",0.06293074,0.000242593,4.8,4.5,-0.3
"Laurens, Georgia, US",0.062928532,0.002544904,5,4.6,-0.4
"Grant, Indiana, US",0.06291718,0.000973103,4.1,4.4,0.3
"Independence, Arkansas, US",0.062894911,0.002035691,4.6,5.1,0.5
"Oklahoma, Oklahoma, US",0.062852851,0.000470258,3,6.3,3.3
"Roane, Tennessee, US",0.0628489,0.000749316,4.7,6.8,2.1
"Washington, Kentucky, US",0.062835883,0.000578752,4.2,5.1,0.9
"Lake, Illinois, US",0.062831014,0.001042302,4.4,5,0.6
"Troup, Georgia, US",0.062727039,0.001802008,3,4.6,1.6
"Jefferson, Louisiana, US",0.062724715,0.001486729,4.8,10.6,5.8
"Clark, Idaho, US",0.062721893,0,5.3,3.5,-1.8
"Summit, Utah, US",0.062712065,0.000118638,2.1,5.4,3.3
"Lancaster, Nebraska, US",0.062681375,0.000341596,2.7,2.7,0
"Laclede, Missouri, US",0.062648714,0.00106374,7.3,4,-3.3
"Keith, Nebraska, US",0.062608912,0.000248942,3.4,2.2,-1.2
"Jasper, Indiana, US",0.06260056,0.00074489,4.9,4,-0.9
"Norman, Minnesota, US",0.062588235,0.001098039,6.8,3.5,-3.3
"Polk, Wisconsin, US",0.062558527,0.000479638,6.5,4.5,-2
"Escambia, Alabama, US",0.062539241,0.000873529,3.8,5.5,1.7
"Posey, Indiana, US",0.062531954,0.000943879,3,3,0
"Franklin, Georgia, US",0.062529445,0.00107071,3.8,3.8,0
"Wabasha, Minnesota, US",0.06251445,9.25E-05,4.4,2.7,-1.7
"Elmore, Alabama, US",0.062505387,0.000911229,3,4.5,1.5
"Burke, Georgia, US",0.062502792,0.000759505,5.3,5.4,0.1
"Kootenai, Idaho, US",0.062475482,0.000615581,4.7,6.5,1.8
"Pottawatomie, Oklahoma, US",0.062376019,0.000344391,3.5,6.2,2.7
"Lowndes, Georgia, US",0.062373303,0.001115786,3.7,4.2,0.5
"Dillon, South Carolina, US",0.062370813,0.001771712,4.2,4.5,0.3
"La Salle, Texas, US",0.062367021,0.001861702,2.8,5.6,2.8
"Ramsey, Minnesota, US",0.06232726,0.001077553,2.8,4.7,1.9
"Saline, Kansas, US",0.06231558,0.000829891,3.5,4.7,1.2
"Cedar, Nebraska, US",0.062247084,0.000952154,2.6,2,-0.6
"Sangamon, Illinois, US",0.062243158,0.000760253,3.8,5.1,1.3
"Broward, Florida, US",0.062225199,0.000896159,3,7.3,4.3
"Le Sueur, Minnesota, US",0.062207914,0.000450029,6.9,3.4,-3.5
"Vermillion, Indiana, US",0.062201574,0.001355014,5.8,4.6,-1.2
"Dallas, Texas, US",0.062147982,0.000660212,3.5,6.6,3.1
"Greene, Tennessee, US",0.062140758,0.001158262,5.2,8.1,2.9
"Montgomery, Alabama, US",0.062123045,0.001156804,3.3,8.6,5.3
"Colquitt, Georgia, US",0.062105263,0.001118421,3,3.4,0.4
"Franklin, Nebraska, US",0.062101376,0.000671366,3.1,2.7,-0.4
"Westchester, New York, US",0.062005817,0.001627897,4,7,3
"Kemper, Mississippi, US",0.061999589,0.001950318,7.6,9.2,1.6
"Murray, Oklahoma, US",0.061962623,0.000426348,3.3,6.5,3.2
"Payne, Oklahoma, US",0.06188252,0.000293456,2.8,4.7,1.9
"St. Louis, Missouri, US",0.06185847,0.001181849,3.8,4.3,0.5
"Clay, Indiana, US",0.06184938,0.001105815,3.9,4.5,0.6
